AuthorID,Author,Date,Content,Attachments,Reactions
"235148962103951360","Carl-bot#1536","2/7/2022 4:09 PM","","",""
"911222798637211689","Seta#3964","2/11/2022 3:06 PM","Novamente a timidez tomou conta de mim.

Ontem eu consegui manter uma conversa legal com ela na saída, porque hoje parece até que foi mais difícil que os outros dias ? Eu novamente amarelei, meu corpo mal conseguia se inclinar pro lado em que ela estava, nada para comentar vinha á minha cabeça. Novamente, a timidez, motivo de tantos arrependimentos meus, se não todos, atacou novamente.","",""
"523274272903528451","joaovitorferreira","2/11/2022 3:16 PM","Cara, é tão gostoso de certa forma passar por isso","",""
"523274272903528451","joaovitorferreira","2/11/2022 3:16 PM","de verdade","",""
"523274272903528451","joaovitorferreira","2/11/2022 3:16 PM","já passei muito isso quando era anti-social","",""
"523274272903528451","joaovitorferreira","2/11/2022 3:16 PM","e agora to fazendo até evento para ajudar nisso akakakaka","",""
"523274272903528451","joaovitorferreira","2/11/2022 3:16 PM","Um truque que eu tinha","",""
"523274272903528451","joaovitorferreira","2/11/2022 3:16 PM","era ficar massageando as mãos","",""
"523274272903528451","joaovitorferreira","2/11/2022 3:17 PM","Talvez isso possa te ajudar","",""
"911222798637211689","Seta#3964","2/11/2022 3:24 PM","Eu já tenho essa mania desde pequeno","",""
"911222798637211689","Seta#3964","2/11/2022 3:24 PM","Virou toc já","",""
"911222798637211689","Seta#3964","2/11/2022 3:24 PM","Nem alivia mais","",""
"456226577798135808","Deleted User","2/11/2022 7:11 PM","Uma dica, não pense demaia","",""
"456226577798135808","Deleted User","2/11/2022 7:12 PM","Segunda dica, se for pra ficar com ela mostre que tem potencial em cuidar dela","",""
"456226577798135808","Deleted User","2/11/2022 7:13 PM","Terceira dica, não precisa ser descolado pra krl so precisa ter o porte tlg
Ande suavemente e pense em coisas boas ou fique suave em todas as situações","",""
"456226577798135808","Deleted User","2/11/2022 7:14 PM",":_SwagCat_:","",""
"523274272903528451","joaovitorferreira","2/11/2022 7:19 PM","Só não entendi a segunda dica","",""
"456226577798135808","Deleted User","2/11/2022 8:28 PM","Tem muito cara q namora uma mina gata mas no fim cuida mal dela é ela vaza da vida do cara, d
Quando eu falo de cuidar é ter respeito com ela é saber mecher com ela","",""
"911222798637211689","Seta#3964","2/11/2022 8:53 PM","Tá, mas como demonstra isso?","",""
"523274272903528451","joaovitorferreira","2/11/2022 8:56 PM","Quando eu não tinha passado pela minha situação de término e tals, tinha uma parada que eu seguia","",""
"523274272903528451","joaovitorferreira","2/11/2022 8:56 PM","agora não sigo mais","",""
"523274272903528451","joaovitorferreira","2/11/2022 8:56 PM","que eras as regrinhas de namorar","",""
